point_id,label,time_point_id,time,D,E,H,I,R,S
0,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
1,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
1,True,1,1.0,8.368543958123511e-05,0.008023813462993306,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9778195623972549
2,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
2,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
2,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
3,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
3,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
3,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
3,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
4,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
4,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
4,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
4,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
4,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
5,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
5,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
5,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
5,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
5,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
5,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
6,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
6,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
6,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
6,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
6,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
6,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
6,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
7,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
7,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
7,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
7,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
7,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
7,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
7,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
7,True,7,7.0,0.0001592485522194206,0.012227095808739135,0.0014686195114484045,0.014672757489910059,0.008995791226807928,0.9624764874108752
8,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
8,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
8,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
8,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
8,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
8,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
8,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
8,True,7,7.0,0.0001592485522194206,0.012227095808739135,0.0014686195114484045,0.014672757489910059,0.008995791226807928,0.9624764874108752
8,True,8,8.0,0.00017687188249723923,0.013296383066512906,0.001615213575598117,0.01600304708242472,0.009946703401613561,0.9589617809913535
9,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
9,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
9,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
9,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
9,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
9,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
9,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
9,True,7,7.0,0.0001592485522194206,0.012227095808739135,0.0014686195114484045,0.014672757489910059,0.008995791226807928,0.9624764874108752
9,True,8,8.0,0.00017687188249723923,0.013296383066512906,0.001615213575598117,0.01600304708242472,0.009946703401613561,0.9589617809913535
9,True,9,9.0,0.0001962542584550997,0.01445769967007554,0.0017737547175977742,0.017446092117463022,0.01098501146192032,0.9551411877744884
10,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
10,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
10,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
10,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
10,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
10,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
10,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
10,True,7,7.0,0.0001592485522194206,0.012227095808739135,0.0014686195114484045,0.014672757489910059,0.008995791226807928,0.9624764874108752
10,True,8,8.0,0.00017687188249723923,0.013296383066512906,0.001615213575598117,0.01600304708242472,0.009946703401613561,0.9589617809913535
10,True,9,9.0,0.0001962542584550997,0.01445769967007554,0.0017737547175977742,0.017446092117463022,0.01098501146192032,0.9551411877744884
10,True,10,10.0,0.0002175392082114214,0.015716947808059736,0.001945301978644354,0.01901172905055094,0.01211808225204461,0.9509903997024891
11,True,0,0.0,7.511394446654727e-05,0.007196514307051375,0.00071429125955732,0.007624406251203562,0.004303509823114137,0.980086164414607
11,True,1,1.0,8.368543958123511e-05,0.0076163929308235906,0.0007953502586256592,0.008484254237522366,0.004793334204022581,0.9782269829294246
11,True,2,2.0,9.322964268474303e-05,0.008158041852913805,0.0008855003175135406,0.009362729501635384,0.005338443264082891,0.9761620554211697
11,True,3,3.0,0.00010385564649490552,0.008800357256750428,0.0009842048757948943,0.010282770430093856,0.005940680144115664,0.9738881316467504
11,True,4,4.0,0.00011566610500444425,0.009531844779481628,0.001091439796817282,0.01126135132875681,0.006603125317270871,0.971396572672669
11,True,5,5.0,0.00012876345213692542,0.010347192970347785,0.001207521947692575,0.012311858785465117,0.007329807318451113,0.9686748555259065
11,True,6,6.0,0.00014325248366794545,0.011245133412852633,0.0013330081604739107,0.013445596111839323,0.008125533341834107,0.9657074764893322
11,True,7,7.0,0.0001592485522194206,0.012227095808739135,0.0014686195114484045,0.014672757489910059,0.008995791226807928,0.9624764874108752
11,True,8,8.0,0.00017687188249723923,0.013296383066512906,0.001615213575598117,0.01600304708242472,0.009946703401613561,0.9589617809913535
11,True,9,9.0,0.0001962542584550997,0.01445769967007554,0.0017737547175977742,0.017446092117463022,0.01098501146192032,0.9551411877744884
